Configuration[
MAP_NUM_ROWS=14
MAP_NUM_COLS=10
MAX_NUM_MOVING_OBJECTS=6
NUM_WALLS=9
ARRAY_WALLS=[(10,3);(5,6);(9,0);(10,1);(10,6);(12,3);(3,8);(0,1);(0,1)]
NUM_FAKE_WALLS=5
ARRAY_FAKE_WALLS=[(4,9);(6,4);(0,8);(1,3);(1,3)]
SHERLOCK_MOVING_RULE=LR
SHERLOCK_INIT_POS=(10,9)
SHERLOCK_INIT_HP=57
SHERLOCK_INIT_EXP=841
WATSON_MOVING_RULE=RDRDRL
WATSON_INIT_POS=(8,5)
WATSON_INIT_HP=80
WATSON_INIT_EXP=338
CRIMINAL_INIT_POS=(12,6)
NUM_STEPS=18
]
*********************************************************
ROUND : 0 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |     |  (2)|     |     |     |  (W)|     |
   12|  (C)|     |     |IIIII|     |     |     |     |     |     |
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 7 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |     |  (2)|     |     |     |  (W)|     |
   12| (Cc)|     |     |IIIII|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 7 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |     |     |     |  (2)|     |  (W)|     |
   12| (Cc)|     |     |IIIII|     |     |     |     |     |     |
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |     |     |     |  (2)|     |  (W)|     |
   12| (cw)|     |     |IIIII|     |     |     |     |     |     |
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |     |     |     |  (2)|     |  (W)|     |
   12| (cw)|     |     |IIIII|     |     |     |     |     |     |
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |     |     |     |  (2)|     |     |  (W)|
   12| (cw)|     |     |IIIII|     |     |     |     |     |     |
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |     |     |     |  (2)|     |     |  (W)|
   12|  (w)|     |     |IIIII|     |     |     |     |     |     |
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |     |     |     |     |     |  (2)|  (W)|
   12|  (w)|     |     |IIIII|     |     |     |     |     |     |
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 8 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|  (w)|     |     |     |     |     |     |     |  (2)|  (W)|
   12|     |     |     |IIIII|     |     |     |     |     |     |
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|  (w)|     |     |     |     |     |     |     |  (2)|  (W)|
   12|  (C)|     |     |IIIII|     |     |     |     |     |     |
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|  (w)|     |     |     |     |     |     |     |  (2)|  (W)|
   12|  (C)|     |     |IIIII|     |     |     |     |     |     |
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|  (w)|     |     |     |     |     |     |     |  (2)|     |
   12|  (C)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|  (w)|     |     |     |     |     |     |     |  (2)|     |
   12| (Cc)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|  (w)|     |     |     |     |     |     |     |     |     |
   12| (Cc)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 9 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |  (w)|     |     |     |     |     |     |     |     |
   12| (Cc)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |  (w)|     |     |     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |  (w)|     |     |     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |  (w)|     |     |     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |  (w)|     |     |     |     |     |     |     |     |
   12|     |     |     |IIIII|     |     |     |     |     |  (W)|
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |  (w)|     |     |     |     |     |     |  (2)|     |
   12|     |     |     |IIIII|     |     |     |     |     |  (W)|
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 10 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |  (w)|     |     |     |     |     |  (2)|     |
   12|     |     |     |IIIII|     |     |     |     |     |  (W)|
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |  (w)|     |     |     |     |     |  (2)|     |
   12|  (C)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |  (w)|     |     |     |     |     |  (2)|     |
   12|  (C)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |  (w)|     |     |     |     |     |  (2)|     |
   12|  (C)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|  (c)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |     |     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |  (w)|     |     |     |     |     |  (2)|     |
   12| (Cc)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |  (w)|     |     |     |     |     |     |     |
   12| (Cc)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 11 - TURN : 5
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |  (w)|     |     |     |     |     |     |
   12| (Cc)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|     |     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 12 - TURN : 0
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |     |  (S)|
   11|     |     |     |  (w)|     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 12 - TURN : 1
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |  (w)|     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |  (W)|     |
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 12 - TURN : 2
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |  (w)|     |     |     |     |     |     |
   12|  (c)|     |     |IIIII|     |     |     |     |     |  (W)|
   13|  (C)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 12 - TURN : 3
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
    9|IIIII|     |     |     |     |     |     |     |  (2)|     |
   10|     |IIIII|     |IIIII|     |     |IIIII|     |  (S)|     |
   11|     |     |     |  (w)|     |     |     |     |     |     |
   12|     |     |     |IIIII|     |     |     |     |     |  (W)|
   13| (Cc)|     |     |     |     |     |     |     |     |     |
*********************************************************
ROUND : 12 - TURN : 4
     |    0|    1|    2|    3|    4|    5|    6|    7|    8|    9|
    0|     |IIIII|     |     |     |     |     |     |-----|     |
    1|     |     |     |-----|     |     |     |     |     |     |
    2|     |     |     |     |     |     |     |     |     |     |
    3|     |     |     |     |     |     |     |     |IIIII|     |
    4|     |     |     |     |     |     |     |     |     |-----|
    5|     |     |     |     |     |     |IIIII|     |     |     |
    6|     |     |     |     |-----|     |     |     |     |     |
    7|     |     |     |     |     |     |     |     |     |     |
    8|     |     |     |     |     |     |     |     |     |     |
